Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto;BSN;Strasse;PLZ;Schulart;lat;lng
Janusz-Korczak-Schule (Integrierte Sekundarschule);Pankow;Restarbeiten Erneuerung Heizungsanlage,Regelung, Elektro und Nebenleistungen;150000;03K09;Dolomitenstr. 94;13187;Integrierte Sekundarschule;52.562908;13.407559
Wilhelm-von-Humboldt-Schule (Gemeinschaftsschule);Pankow;Sanierung Metallfenster Fenster;300000;03K11;Erich-Weinert-Str. 70;10439;Integrierte Sekundarschule;52.54845;13.42476
Schule an der Strauchwiese;Pankow;Malerarbeiten Klassenräume;12000;03S09;Mendelstr. 54;13187;Übrige Förderschwerpunkte;52.57805;13.41782
Heinrich-Schliemann-Gymnasium;Pankow;Sanierung Vorderhaus;500000;03Y04;Dunckerstr. 64;10439;Gymnasium;52.54663;13.42365
Primo-Levi-Gymnasium;Pankow;Sanierung der innenliegenden Sporthallen einschl. Sanitär;485000;03Y14;Pistoriusstr. 133;13086;Gymnasium;52.5516;13.45369
Max-Delbrück-Gymnasium;Pankow;Malerarbeiten Klassenräume;10000;03Y15;Kuckhoffstr. 2-22;13156;Gymnasium;52.583884;13.402118
Lietzensee-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Bodenbelag im Treppenhaus;200000;04G02;Witzlebenstr. 34;14057;Grundschule;52.5094;13.29502
Joan-Miró-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Fenster, 2. BA, Sanierung Elektro, 5. BA, Sanierung Räume, Fassade, Dach;1000000;04G04;Bleibtreustr. 43;10623;Grundschule;52.50357;13.32014
Mierendorff-Grundschule;Charlottenburg-Wilmersdorf;Fortführung Sanierung Räume, Elektro, 2. BA, Sanierung Dach;1700000;04G08;Mierendorffstr. 20-24;10589;Grundschule;52.523791;13.303338
Erwin-von-Witzleben-Grundschule;Charlottenburg-Wilmersdorf;Fortführung und Beendigung der Mensaerweiterung;185000;04G09;Halemweg 34;13627;Grundschule;52.53967;13.2873
Schinkel-Grundschule;Charlottenburg-Wilmersdorf;Beginn der Sanitärstrangsanierung, Fortführung Sanierung der Aula;375000;04G12;Nithackstr. 8;10585;Grundschule;52.51782;13.29876
Nehring-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Fenster, 6. BA, Sanierung Räume, Elektro, Dach;1000000;04G13;Nehringstr. 9-10;14059;Grundschule;52.514893;13.293865
Reinhold-Otto-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Flure und Räume;190000;04G14;Leistikowstr. 7-8;14050;Grundschule;52.513329;13.268399
Charles-Dickens-Grundschule;Charlottenburg-Wilmersdorf;Herstellung eines zweiten Rettungsweges;100000;04G15;Dickensweg 15;14055;Grundschule;52.508946;13.236971
Ernst-Habermann-Grundschule;Charlottenburg-Wilmersdorf;Sanierung der Sporthalle und Umkleiden;170000;04G18;Prinzregentenstr. 33-34;10715;Grundschule;52.48328;13.33269
Katharina-Heinroth-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Räume, Elektro, Sanierung der Aula;1200000;04G20;Münstersche Str. 15-17;10709;Grundschule;52.494;13.30619
Halensee-Grundschule;Charlottenburg-Wilmersdorf;Fortführung und Beendigung der Sanierung Aula;180000;04G21;Joachim-Friedrich-Str. 35-36;10711;Grundschule;52.49993;13.2961
Grunewald-Grundschule;Charlottenburg-Wilmersdorf;Erneuerung der Trinkwarmwasseranlage, Sanierung und Ausbau der Direktorenvilla;600000;04G22;Delbrückstr. 20A;14193;Grundschule;52.484525;13.281094
Alt-Schmargendorf-Grundschule;Charlottenburg-Wilmersdorf;Fortführung der Sanierung Räume incl. Elektro, Sanierung und Instandsetzung der Geb.udehülle (Teil II), Sanierung Räume, Elektro;1465000;04G23;Reichenhaller Str. 8;14199;Grundschule;52.477085;13.293432
Carl-Orff-Grundschule;Charlottenburg-Wilmersdorf;Erweiterung Mensa und Hort (Auguste-Viktoria-Str. 57–59), Fortführung der Sanierung Elektrotechnische Anlagen, Sicherheitsbeleuchtung, Sprachalarmierung und Hausalarm;501000;04G24;Berkaer Str. 9-10;14199;Grundschule;52.47841;13.28709
Birger-Forell-Grundschule;Charlottenburg-Wilmersdorf;Beginn der Sanierung Elektrotechnische Anlagen, Sicherheitsbeleuchtung, Sprachalarmierung;290000;04G26;Koblenzer Str. 22-24;10715;Grundschule;52.480726;13.321893
Friedensburg-Schule;Charlottenburg-Wilmersdorf;Fortführung der Sanierung, Mensa, Musikräume und Flur Haus B, Sanierung Flure und Räume;944000;04K02;Goethestr. 8-9;10623;Integrierte Sekundarschule;52.50908;13.32082
Robert-Jungk-Schule;Charlottenburg-Wilmersdorf;Sanierung der Lüftungsanlage und Duschräume der Doppelturnhalle, Umgestaltung Schulhofentwässerung;600000;04K03;Sächsische Str. 58;10707;Integrierte Sekundarschule;52.49448;13.31872
Schule am Schloss (Integrierte Sekundarschule);Charlottenburg-Wilmersdorf;Sanierung Dach, 2. BA, Sanierung Räume, Fenster, Sanitär;902000;04K06;Schloßstr. 55A;14059;Integrierte Sekundarschule;52.5161;13.29812
Integrierte Sekundarschule Wilmersdorf;Charlottenburg-Wilmersdorf;Sanierung Räume, Elektro, Dach, Fassade, Fenster;1000000;04K07;Kranzer Str. 3;14199;Integrierte Sekundarschule;52.482808;13.296098
Otto-von-Guericke-Schule (Integrierte Sekundarschule);Charlottenburg-Wilmersdorf;Sanierung Räume, Elektro, 2. BA, Sanierung Fenster;900000;04K09;Eisenzahnstr. 47-48;10709;Integrierte Sekundarschule;52.49276;13.30516
Comenius-Schule;Charlottenburg-Wilmersdorf;Sanierung Räume, 2. BA, Sanierung Fenster, Fassade, Dach, Sanitär und Sporthalle, Beendigung Aufzug, Behinderten-WC, Rampe;975000;04S07;Gieselerstr. 4;10713;Grundschule;52.48869;13.3181
Schiller-Gymnasium;Charlottenburg-Wilmersdorf;Sanierung Fenster, 3. BA, Sanierung Räume, Elektro, Dach, Fortführung der Sanierung Fenster, Sanierung Räume, Elektro, Dach;1600000;04Y01;Schillerstr. 125-127;10625;Gymnasium;52.50993;13.321596
