Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto
Fritz-Karsen-Schule (Gemeinschaftsschule);Neukölln;Sanierung der Sanitäranlagen, Neubau Aufzug, Sanierung des historischen Auladaches;1537000
Alfred-Nobel-Schule;Neukölln;Sanierung Brandschutz im Flur;450000
Schule am Zwickauer Damm;Neukölln;Sanierung der Sanitäranlagen;215000
Schule am Bienwaldring;Neukölln;Schaffung Barrierefreiheit (Aufzug) sowie Sanierung Brandschutz;1000000
Treptow-Kolleg;Treptow-Köpenick;Brandschutzmaßnahmen, Erneuerung der Elektro - und Schwachstromanlage;750000
Schule am Ginkobaum (Grundschule);Treptow-Köpenick;Sanierung Außenanlagen nach Erneuerung aller Grundleitungen;670000
Schule an der alten Feuerwache (Grundschule);Treptow-Köpenick;Erneuerung Elt. und Schwachstromanlage, Brandschutzmaßnahmen;450000
Heide-Schule (Grundschule);Treptow-Köpenick;Baumaßnahme zur Gewährleistung der Barrierefreiheit, Gesamtsanierung Innenbereich;1899587
Schule am Altglienicker Wasserturm (Grundschule);Treptow-Köpenick;Restleistungen energetische Sanierung des Schulgebäudes, Komplettsanierung der Sporthalle, Bauginn der bauvorbereitenden Maßnahmen;1825000
Schule am Buntzelberg (Grundschule);Treptow-Köpenick;Errichtung Verbindungsbau und Wiederherrichtung Außenanlagen nach Errichtung MEB über Bezirk;260000
Schule an den Püttbergen (Grundschule);Treptow-Köpenick;Sanierung Dach, Brandschutzmaßnahmen;500000
Friedrichshagener Schule (Grundschule);Treptow-Köpenick;"Brandschutzmaßnahmen ; Erneuerung Elt . Und Schwachstrom";805000
Kiefholz-Grundschule;Treptow-Köpenick;Gesamtsanierung und Ausbau Dachgeschoss zur Schaffung zusätzlicher Klassenräume;750000
