BSN;Schulname;AlleLehrkraefte;AlleQS;Q1_5;Q6_x;S1_5;S6_x
05G21;Paul-Moor-Schule;35;6 %;6 %;;;
05G26;Grundschule am Amalienhof;35;6 %;6 %;;;
06G14;Sachsenwald-Grundschule;35;6 %;3 %;;3 %;
07K13;Schule am Berlinickeplatz (Integrierte Sekundarschule);35;6 %;6 %;;;
02G20;Bürgermeister-Herz-Grundschule;36;6 %;6 %;;;
03G33;Jeanne-Barez-Schule (Grundschule);36;6 %;6 %;;;
03G41;Trelleborg-Schule (Grundschule);36;6 %;6 %;;;
04G23;Alt-Schmargendorf-Grundschule;36;6 %;3 %;;3 %;
04G20;Katharina-Heinroth-Grundschule;47;6 %;6 %;;;
11K09;Philipp-Reis-Schule (Integrierte Sekundarschule);47;6 %;6 %;;;
12Y06;Schulfarm Insel Scharfenberg;47;6 %;4 %;;2 %;
07G22;Paul-Klee-Grundschule;48;6 %;6 %;;;
10G28;Grundschule am Hollerbusch;48;6 %;6 %;;;
02G21;Reinhardswald-Grundschule;49;6 %;6 %;;;
06Y08;Hermann-Ehlers-Gymnasium;49;6 %;6 %;;;
07K05;Solling-Schule;49;6 %;6 %;;;
08Y04;Ernst-Abbe-Gymnasium;49;6 %;6 %;;;
01Y09;Diesterweg-Gymnasium;51;6 %;;;6 %;
03K10;Hufeland-Schule (Integrierte Sekundarschule);54;6 %;4 %;;2 %;
06Y07;Paulsen-Gymnasium;54;6 %;2 %;;4 %;
08B01;Annedore-Leber-Oberschule;57;6 %;2 %;;4 %;
01Y11;Max-Planck-Gymnasium;67;6 %;3 %;;3 %;
03K11;Wilhelm-von-Humboldt-Gemeinschaftsschule;77;6 %;3 %;;3 %;
04B04;Ruth-Cohn-Schule (OSZ Sozialwesen);92;6 %;2 %;;4 %;
06K11;Anna-Essinger-Gemeinschaftsschule;92;6 %;3 %;;3 %;
11Y09;Barnim-Gymnasium;92;6 %;3 %;;3 %;
03G23;Grundschule Alt-Karow;19;5 %;5 %;;;
09G20;Müggelheimer Schule (Grundschule);19;5 %;;;5 %;
06G10;Grundschule am Buschgraben;20;5 %;5 %;;;
08G02;Theodor-Storm-Schule (Grundschule);20;5 %;5 %;;;
04G05;Dietrich-Bonhoeffer-Grundschule;21;5 %;5 %;;;
06G09;Dreilinden-Grundschule;21;5 %;5 %;;;
09G30;Kiefholz-Grundschule;21;5 %;5 %;;;
03G44;Georg-Zacharias-Grundschule;22;5 %;5 %;;;
04B08;Kläre-Bloch-Schule;22;5 %;;;5 %;
09G24;Müggelsee-Schule (Grundschule);22;5 %;5 %;;;
11S06;Selma-Lagerlöf-Schule;22;5 %;5 %;;;
07G21;Grundschule auf dem Tempelhofer Feld;37;5 %;5 %;;;
05G15;Askanier-Grundschule;38;5 %;5 %;;;
07G19;Paul-Simmel-Grundschule;38;5 %;;;5 %;
07G28;Kiepert-Grundschule;38;5 %;5 %;;;
03G18;Picasso-Grundschule;39;5 %;5 %;;;
12K10;Carl-Bosch-Schule;39;5 %;5 %;;;
04G13;Nehring-Grundschule;40;5 %;5 %;;;
12S06;Toulouse-Lautrec-Schule;40;5 %;5 %;;;
02G35;Rosa-Parks-Grundschule;41;5 %;5 %;;;
02S01;Temple-Grandin-Schule;41;5 %;5 %;;;
04Y09;Walther-Rathenau-Gymnasium;41;5 %;5 %;;;
12K01;Julius-Leber-Schule;41;5 %;5 %;;;
