Schule;Schulform;Bezirk;Gebaeudeklasse2016Neubau;Kessfaktor2016Neubau;Plankosten2016Neubau;Gebaeudeklasse2016Sanierung;Kessfaktor2016Sanierung;Plankosten2016Sanierung
Schule Genslerstraße Grundschule Hamburg-Nord Neubau 4,1 2 549.700,00 €
Schule Grumbrechtstraße Grundschule Harburg Neubau 2,9 2 8.600.993,68 €
Sanierung 2,9 2 1.075.561,68 €
Schule Heidacker Grundschule Eimsbüttel Sanierung 2,7 4 835.085,34 €
Schule Hinter der Lieth Grundschule Eimsbüttel Sanierung 2,8 5 1.793.062,00 €
Schule Hirtenweg Sonderschule Altona Sanierung 3,6 k.A. 247.360,61 €
Schule Humboldtstraße Grundschule Hamburg-Nord Neubau 4,5 5 4.484.776,35 €
Sanierung 4,5 5 4.798.026,24 €
Schule Iserbarg Grundschule Altona Neubau 3,3 5 1.719.841,20 €
Schule Iserbrook Grundschule Altona Neubau 4,7 5 815.850,00 €
Sanierung 4,7 5 1.584.644,32 €
Schule Kielkamp Sonderschule Altona Neubau 3,9 k.A. 2.520.000,00 €
Sanierung 3,9 k.A. 4.487.884,13 €
Schule Langbargheide Grundschule Altona Sanierung 4,1 1 1.159.974,45 €
Schule Lutterothstraße Grundschule Eimsbüttel Sanierung 3,9 4 579.008,30 €
Schule Max-Eichholz-Ring Grundschule Bergedorf Neubau 3,9 4 3.162.322,80 €
Sanierung 3,9 4 1.446.864,62 €
Schule Moorflagen Grundschule Eimsbüttel Neubau 4,0 4 104.400,00 €
Sanierung 4,0 4 572.650,85 €
Schule Ochsenwerder Grundschule Bergedorf Neubau 2,7 5 1.181.880,00 €
Sanierung 2,7 5 3.446.150,40 €
Schule Ohkamp Grundschule Hamburg-Nord Neubau 3,1 5 1.740.791,99 €
Schule Oppelner Straße Grundschule Wandsbek-Süd Sanierung 4,5 1 8.367.641,81 €
Schule Paracelsusstraße Sonderschule Wandsbek-Nord Neubau 3,0 k.A. 288.000,00 €
Schule Ratsmühlendamm Grundschule Hamburg-Nord Neubau 3,8 4 3.530.286,15 €
Sanierung 3,8 4 938.095,20 €
Schule Rellinger Straße Grundschule Eimsbüttel Sanierung 4,2 5 180.325,77 €
Schule Rönnkamp Grundschule Eimsbüttel Neubau 2,0 5 793.244,40 €
Sanierung 2,0 5 249.561,73 €
Schule Rothestraße Grundschule Altona Neubau 1,7 5 1.044.288,00 €
Schule Rungwisch Grundschule Eimsbüttel Sanierung 3,0 3 942.105,78 €
Schule Schulkamp Grundschule Altona Sanierung 3,2 6 1.905.283,26 €
Schule Sethweg Grundschule Eimsbüttel Neubau 2,8 5 463.200,00 €
Schule Trenknerweg Grundschule Altona Neubau 3,5 5 5.380.141,20 €
Sanierung 3,5 5 770.309,07 €
Schule Wesperloh Grundschule Altona Neubau 4,7 4 4.120.800,43 €
Sanierung 4,7 4 7.053.585,47 €
Schule Windmühlenweg Grundschule Altona Sanierung 3,5 6 153.298,66 €
Schule Zollenspieker Grundschule Bergedorf Neubau 2,4 5 3.486.842,35 €
Sanierung 2,4 5 1.651.669,50 €
Stadtteilschule Altrahlstedt Stadtteilschule Wandsbek-Nord Sanierung 4,1 2 326.755,21 €
Stadtteilschule am Hafen /Grundschule St. Pauli Grundschule Hamburg-Mitte Sanierung 4,1 2 1.166.268,60 €
Stadtteilschule am See Stadtteilschule Wandsbek-Süd Sanierung k.A. k.A. 3.956.510,00 €
Stadtteilschule Bergedorf Stadtteilschule Bergedorf Neubau 3,4 4 308.200,00 €
Stadtteilschule Bergstedt Stadtteilschule Wandsbek-Nord Neubau 2,0 5 10.554.364,80 €
Stadtteilschule Eidelstedt Stadtteilschule Eimsbüttel Neubau 4,0 2 1.272.196,80 €
Stadtteilschule Hamburg-Mitte und Abendschule St. Georg Stadtteilschule Hamburg-Mitte Neubau 2,8 2 3.283.862,40 €
Stadtteilschule Horn Stadtteilschule Hamburg-Mitte Neubau 3,4 2 169.638,88 €
Sanierung 3,4 2 1.661.261,06 €
Stadtteilschule Mümmelmannsberg Stadtteilschule Hamburg-Mitte Neubau 4,0 1 2.811.975,00 €
Sanierung 4,0 1 239.904,00 €
Stadtteilschule Öjendorf Stadtteilschule Hamburg-Mitte Neubau 3,2 1 4.889.525,76 €
Stadtteilschule Süderelbe Stadtteilschule Harburg Sanierung 3,8 2 402.649,94 €
Stadtteilschule Wilhelmsburg Stadtteilschule Harburg Sanierung 3,9 1 223.536,71 €
Stübenhofer Weg Stadtteilschule Harburg Neubau 2,5 2 909.010,00 €
Sanierung 2,5 2 1.285.394,54 €
W 3 Berufl. Schule f. Sozialpädagogik Berufsschule HIBB Neubau 1,9 k.A. 1.975.680,00 €
Sanierung 1,9 k.A. 562.533,78 €
Wilhelm-Gymnasium Gymnasium Eimsbüttel Sanierung 4,6 6 333.369,13 €
Drucksache 21/2943 Bürgerschaft der Freien und Hansestadt Hamburg – 21. Wahlperiode
18
