Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
12S06;Toulouse-Lautrec-Schule;Miraustr. 120-126;13509;Berlin;Sanierung Sanitär und Schwimmbad;628.773 €
12Y01;Friedrich-Engels-Gymnasium;Emmentaler Str. 67;13407;Berlin;Sanierung Dach;247.773 €
12Y01;Friedrich-Engels-Gymnasium;Emmentaler Str. 67;13407;Berlin;Sanierung Sanitär;70.214 €
12Y02;Europäisches G Bertha-von-Suttner;Reginhardstr. 172;13409;Berlin;Sanierung Grundleitungen Sanitär;21.737 €
12Y02;Europäisches G Bertha-von-Suttner;Reginhardstr. 172;13409;Berlin;Sanierung von Elektroverteilungen;17.338 €
12Y05;Georg-Herwegh-Gymnasium;Fellbacher Str. 18-19;13467;Berlin;Sanierung Sanitär;49.733 €
12Y07;Romain-Rolland-Gymnasium;Place Moliere 4;13469;Berlin;Sanierung Grundleitungen Sanitär;21.737 €
12Y08;Thomas-Mann-Gymnasium;Königshorster Str. 10;13439;Berlin;Sanierung von Elektroverteilungen;17.338 €
12Y08;Thomas-Mann-Gymnasium;Königshorster Str. 10;13439;Berlin;Schaffung Fluchtwege, Brandschutzmaßnahmen;53.674 €
12Y08;Thomas-Mann-Oberschule;Königshorster Str. 10;13439;Berlin;Sanierung Unterdecken, Akustikmaßnahme;85.771 €
