Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
06Y04;Dreilinden-Gymnasium;Dreilindenstraße 49;14109;Berlin;Umbau von Teilflächen des Schulhofs;100.000 €
06Y11;Goethe-Gymnasium Lichterfelde;Drakestraße 72-75;12205;Berlin;Neubau einer Dreifach-Sporthalle;5.791.000 €
07G31;Carl-Sonnenschein-Grundschule;Am Hellespont 4 - 6;12109;Berlin;Sanierung der Sporthalle;1.900.000 €
07G35;Nahariya-Grundschule;Nahariyastraße 13-17;12309;Berlin;Sanierung der Sporthalle;2.900.000 €
07K01;Sophie-Scholl-Schule;Elßholzstr. 34-37;10781;Berlin;Sanierung und Erweiterung der Sporthalle;1.420.000 €
07K03;Gustav-Heinemann-Schule;Waldsassener Straße 62;12279;Berlin;Neubau der Schule;26.000.000 €
07K06;Georg-von-Giesche-Schule;Hohenstaufenstraße 47/48;10779;Berlin;Einbau einer Mensa mit Freizeiträumen;3.130.000 €
07K07;Johanna-Eck-Schule;Ringstraße 103-106;12105;Berlin;Neubau einer Mensa und Freizeiträume;1.135.000 €
07K12;Friedenauer Gemeinschaftsschule;Rubensstr. 63;12157;Berlin;Umbau und Sanierung : Rubenstraße 63 /Grazer Platz 1-3 / Pöppelmannstraße 2;28.750.000 €
07Y05;Luise-Henriette-Oberschule;Germaniastraße 4-6;12099;Berlin;Grundsanierung und Dachausbau des Hauptgebäudes einschl. Außenanlagen;19.950.000 €
08G21;Silberstein-Schule;Silbersteinstr. 42;12051;Berlin;Neubau eines Betreuungs- und Mensagebäudes an der Herthabrücke;2.750.000 €
08G21;Silberstein-Schule;Silbersteinstr. 42;12051;Berlin;Erneuerung und Neugestaltung des Schulhofes;200.000 €
08K05;Clay-Schule;Bildhauerweg 9;12355;Berlin;Ersatzbau Neudecker Weg / August-Fröhlich-Straße;39.930.000 €
08K08;Gemeinschaftsschule auf dem Campus Rütli;Rütlistr. 41;12045;Berlin;Erweiterungsbauten;25.550.000 €
08K08;Gemeinschaftsschule auf dem Campus Rütli;Rütlistr. 41;12045;Berlin;Herstellung der Außenanlagen;3.000.000 €
08K13;Gemeinschaftsschule Campus Efeuweg;Efeuweg 34;12357;Berlin;Erweiterungsbau einschließlich Schulbibliothek;3.500.000 €
08Y05;Leonardo-da-Vinci-Gymnasium;Haewererweg 35;12349;Berlin;Ersatzbau Christoph-Ruden-Straße;29.848.000 €
09G06;Melli-Beese-Schule;Engelhardstraße 18;12487;Berlin;Erweiterung zu einer dreizügigen Grundschule;3.500.000 €
09G16;Wendenschloß-Schule;Köpenzeile 123;12557;Berlin;Errichtung einess Schulergänzungsbaus;0 €
09G27;Friedrichshagener Schule;Peter-Hile-Straße 7;12587;Berlin;"Neubau eines Mehrzweck-/Speiseraumes; Einbau eines Aufzuges in der Sporthalle";2.500.000 €
09K01;Merian-Schule;Hoernlestr. 80;12555;Berlin;Neubau Mehrzweckraum - Mensa / Mehrzweckraume;1.900.000 €
09K06;Hans-Grade-Schule;Heubergerweg 37-39;12487;Berlin;Ausbau und Erweiterung des Schulstandortes zu einer vierzzügigen Sekundarschule einschl. Anbau eines Mehrzweckraumes / Aula;6.077.000 €
09K06;Hans-Grade-Schule;Heubergerweg 37-39;12487;Berlin;Ausbau zu einer vierzügigen Sekundarschule;4.200.000 €
09K09;Grünauer Schule;Walchenseestr. 40;12527;Berlin;Erweiterung Schulstandort zur vierzügigen Sekundarschule;12.370.000 €
09Y04;Anne-Frank-Gymnasium;Uranusstr. 15 -17;12524;Berlin;Neubau einer Sporthalle mit zwei Hallenteilen;4.200.000 €
10G09;Grundschule am Bürgerpark;Jan-Petersen-Straße 18 B;12679;Berlin;Modernisierung und Umbau;4.850.000 €
10G10;Peter-Pan-Grundschule;Stolzenhagener Straße 9;12679;Berlin;Ersatzneubau - Stolzenhagener Straße 11;12.935.000 €
10G26;Friedrich-Schiller-Grundschule;An der Schule 13-19;12623;Berlin;Schulergänzungsbau mit Sporthalle und Außensportanlagen, Adolfstraße 27;30.976.000 €
10G26;Friedrich-Schiller-Grundschule;An der Schule 13-19;12623;Berlin;Wiederherstellung Dachgeschoss und Ertüchtigung Brandschutz und Trockenlegung Keller;4.500.000 €
10G29;Grundschule an der Wuhle;Teterower Ring 79;12619;Berlin;Abriss und Ersatzneubau Turnhalle;4.500.000 €
10G30;Mahlsdorfer Grundschule;Feldrain 47;12623;Berlin;Neubau Sporthalle;2.900.000 €
10G30;Mahlsdorfer Grundschule;Feldrain 47;12623;Berlin;Neubau Sporthalle 2.BA;1.600.000 €
10G31;Franz-Carl-Achard-Grundschule;Flämingstr. 16-18;12689;Berlin;Wiederherstellung der Nutzungsfähigkeit, Adolfstraße 27;7.120.000 €
10G31;Franz-Carl-Achard-Grundschule;Flämingstr. 16-18;12689;Berlin;Neubau Sporthalle;5.500.000 €
10K04;Thüringen-Schule;Liebensteiner Straße 24;12687;Berlin;Modernisierung und Umbau Schulgebäude;3.900.000 €
10Y02;Otto-Nagel-Gymnasium;Schulstraße 11;12683;Berlin;Schulergänzungsbau mit Sporthalle;9.600.000 €
10Y02;Otto-Nagel-Gymnasium;Schulstraße 11;12683;Berlin;Wiederherstellung und Ausbau Dachgeschoss inkl. Anpassung Brandschutz;2.626.000 €
10Y11;Melanchthon-Gymnasium;Adele-Sandrock-Str. 73-75;12627;Berlin;Neubau eines Sportfunktionsgebäudes - Lichtenhainer Straße 16;1.200.000 €
11G07;Hermann-Gmeiner-Schule;Massower Straße 39 /;10365;Berlin;Sanierung Haus 2;2.500.000 €
