Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
06K03;Kopernikus-Schule;Lepsiusstr. 24-28;12163;Berlin;Schaffung Rettungsweg, 2. BA;110.000 €
06K04;Bröndby-Schule;Dessauerstr. 63;12249;Berlin;Gesamtsanierung Sporthalle einschl. Sanitär, 1. BA;700.000 €
06K09;Gail-S.-Halvorsen-Integrierte;Im Gehege 6;14195;Berlin;Akustikmaßnahmen, 1. BA;80.000 €
06K09;Gail-S.-Halvorsen;Im Gehege 6;14195;Berlin;Sanierung Sanitär, 3. BA;70.000 €
06K10;Helene-Lange-Schule (10. Schule);Lauenburger Str. 110;12169;Berlin;Sanierung Fenster, 2. BA;80.000 €
06Y01;Schadow-Gymnasium;Beuckestr. 27-29;14163;Berlin;Sanierung Dachstuhl Turm;0 €
06Y02;Droste-HülSporthalleoff-Oberschule;Schönower Str. 8;14165;Berlin;Akustikmaßnahmen, 1. BA;80.000 €
06Y06;Beethoven-Oberschule;Barbarastr. 9;12249;Berlin;Akustikmaßnahmen, 1. BA;0 €
06Y10;Lilienthal-Gymnasium;Ringstr. 2-3;12203;Berlin;Sanierung Dach, Mauerwerk, Treppenanlage;230.000 €
06Y11;Goethe-Oberschule;Drakestr. 72-75;12205;Berlin;Sanierung Fenster;97.000 €
07G01;Spreewald-Grundschule;Pallasstr. 15;10781;Berlin;Akustikmaßnahmen;10.000 €
07G02;Finow-Grundschule;Welserstr. 16-22;10777;Berlin;Sanierung Klassenräume, Schaffung Rettungswege, 3. BA;500.000 €
07G16;Ruppin-Grundschule;Offenbacher Str. 5A;14197;Berlin;Sanierung Fassade, 3. BA;370.000 €
07G17;Stechlinsee-Grundschule;Rheingaustr. 7;12161;Berlin;Akustikmaßnahmen;10.000 €
07G22;Paul-Klee-Grundschule;Konradinstr. 15-17;12105;Berlin;Sanierung Keller, 3. BA;800.000 €
07G24;Tempelherren-Grundschule;Boelckestr. 58-60;12101;Berlin;Akustikmaßnahmen;10.000 €
07G31;Carl-Sonnenschein-Grundschule;Am Hellespont 4-6;12109;Berlin;Energ. Sanierung Gebäude;400.000 €
07G31;Carl-Sonnenschein-Grundschule;Am Hellespont 4-6;12109;Berlin;Energ. Sanierung Gebäude;805.000 €
07G34;Marienfelder Schule;Erbendorfer Weg 13;12279;Berlin;Sanierung Klassenräume, Brandschutzmaßnahmen, 2. BA;770.000 €
07G34;Marienfelder Schule;Erbendorfer Weg 13;12279;Berlin;Energ. Sanierung Fassade;918.000 €
07K06;Georg-von-Giesche-Schule;Hohenstaufenstr. 47-48;10779;Berlin;Sanierung Kellermauerwerk, Klassenräume Souterain;500.000 €
07K10;Friedrich-Bergius-Schule;Perelsplatz 6-9;12159;Berlin;Sanierung Fassade, 2. BA;450.000 €
08G11;Schliemann-Schule;Groß-Ziethener Chaussee 73;12355;Berlin;Sanierung Fassade, Dächer, Fenster;900.000 €
08G15;Hermann-Sander-Schule;Mariendorfer Weg 69;12051;Berlin;Sanierung Sanitär, Brandschutz, Beleuchtung, Bodenbeläge;850.000 €
08G17;Richard-Schule;Richardplatz 14;12055;Berlin;Sanierung Gebäude, Brandschutz, Barrierefreiheit, Sanitär;900.000 €
08G33;Schule am Fliederbusch;Kornradenstr. 2;12357;Berlin;Sanierung Fenster, Außenjalousien, 1. BA;500.000 €
08G37;Rose-Oehmichen-Schule;Lieselotte-Berger-Str. 65;12355;Berlin;Sanierung Schulsportplatz;341.000 €
08K01;Walter-Gropius-Schule;Fritz-Erler-Allee 86;12351;Berlin;Sanierung Sanitär, Brandschutz;400.000 €
08K06;Fritz-Karsen-Schule;Backbergstr. 37;12359;Berlin;Sanierung Fassade, Dach, Sanitär;0 €
08K11;Alfred-Nobel-Schule;Britzer Damm 164;12347;Berlin;Sanierung Sanitär, Brandschutz;250.000 €
08K12;Kepler-Schule;Zwillingestr. 21;12057;Berlin;Sanierung Sanitär, Brandschutz;300.000 €
08S08;Schilling-Schule;Paster-Behrens-Str. 81;12359;Berlin;Sanierung Sanitär, Brandschutz, Schaffung Barrierefreiheit;675.000 €
08Y06;Hannah-Arendt-Schule;Elfriede-Kuhr-Str. 17;12355;Berlin;Betonsanierung, Sanierung Außenjalousien, 1. BA;300.000 €
09A05;Kolleg Treptow-Köpenick;Kiefholzstr. 274;12437;Berlin;Sanierung Klassenräume, Elektro,- Brandschutz,- Fußbodenbelag;400.000 €
09G01;Bouché-Schule;Bouchestr. 5-10;12435;Berlin;Sanierung Schulhof, 2. BA;85.000 €
09G01;Bouché-Schule;Bouchestr. 5-10;12435;Berlin;Sanierung Sporthalle;300.000 €
09G05;Schule am Ginkobaum;Springbornstr. 250;12487;Berlin;Sanierung Bodenbeläge;100.000 €
09G06;Melli-Beese-Schule;Engelhardstr. 18;12487;Berlin;Sanierung Schulsportplatz;185.000 €
09G07;Schule an der alten Feuerwache;Schnellerstr. 31;12439;Berlin;Akustikmaßnahme Sporthalle;120.000 €
09G10;Schule am Berg;Köpenicker Str. 31;12524;Berlin;Sanierung Elektro- Schwachstromanlage, Brandschutz, 2. BA;270.000 €
09G13;Schule am Altglienicker Wasserturm;Sachsenstr. 22;12524;Berlin;Sanierung Fassade, Fenster;50.000 €
09G17;Uhlenhorst-Grundschule;Wongrowitzer Steig 37;12555;Berlin;Sanierung Fenster;50.000 €
09G17;Uhlenhorst-Grundschule;Wongrowitzer Steig 37;12555;Berlin;Sanierung Laufbahn und Weitsprunganlage;74.000 €
09G17;Uhlenhorst-Grundschule;Wongrowitzer Steig 37;12555;Berlin;Akustikmaßnahme;50.000 €
09G21;Edison-Grundschule;Wattstr. 69-70;12459;Berlin;Sanierung Schulsportplatz;187.000 €
09G26;Schule an den Püttbergen;Fürstenwalder Allee 182;12589;Berlin;Sanierung Schulhof;95.000 €
09G26;Schule an den Püttbergen;Fürstenwalder Allee 182;12589;Berlin;Akustikmaßnahme;50.000 €
09G29;Schmöckwitzer Insel-Schule;Adlergestell 776;12527;Berlin;Sanierung Brandschutz;243.000 €
09K02;Anna-Seghers-Schule;Radickestr. 43;12489;Berlin;San. Dach+Wärmedämmung, 2. BA, Fenster;300.000 €
09K03;Fritz-Kühn-Schule;Dahmestr. 45;12526;Berlin;Akustikmaßnahme Sporthalle;120.000 €
