BSN;NAME;AnzahlAktiveLehrkraefte;DarunterAnzahlAktiveQuereinsteigende;Davon1FachQuereinsteigende;Davon2FachQuereinsteigende;AnteilQuereinsteigendeAnLehrkraefte
07G21;Grundschule auf dem Tempelhofer Feld;36;2;1;1;6%
07G22;Paul-Klee-Grundschule;47;3;2;1;6%
07G23;Schätzelberg-Grundschule;21;0;0;0;0%
07G24;Tempelherren-Grundschule;25;4;3;1;16%
07G25;Ludwig-Heck-Grundschule;32;1;1;0;3%
07G26;Grundschule im Taunusviertel;24;4;1;3;17%
07G27;Rudolf-Hildebrand-Grundschule;31;1;0;1;3%
07G28;Kiepert-Grundschule;40;3;2;1;8%
07G29;Käthe-Kollwitz-Grundschule;40;0;0;0;0%
07G30;Annedore-Leber-Grundschule;41;3;1;2;7%
07G31;Carl-Sonnenschein-Grundschule;29;3;1;2;10%
07G32;Bruno-H.-Bürgel-Grundschule;33;4;1;3;12%
07G34;Marienfelder Schule (Grundschule);41;4;4;0;10%
07G35;Nahariya-Grundschule;41;2;2;0;5%
07G36;Grundschule am Dielingsgrund;34;4;1;3;12%
07G37;Ikarus-Grundschule;35;2;2;0;6%
08G01;Rixdorfer Schule (Grundschule);35;1;0;1;3%
08G02;Theodor-Storm-Schule (Grundschule);20;2;0;2;10%
08G03;Hans-Fallada-Schule (Grundschule);40;1;1;0;3%
08G05;Elbe-Schule (Grundschule);25;1;1;0;4%
08G06;Karl-Weise-Schule (Grundschule);24;2;1;1;8%
08G07;Hermann-Boddin-Schule (Grundschule);29;2;2;0;7%
08G08;Karlsgarten-Schule (Grundschule);39;2;0;2;5%
08G09;Regenbogen-Schule (Grundschule);43;1;0;1;2%
08G11;Schliemann-Schule (Grundschule);31;3;0;3;10%
08G12;Peter-Petersen-Schule (Grundschule);20;0;0;0;0%
08G13;Bruno-Taut-Schule (Grundschule);30;2;2;0;7%
08G14;Konrad-Agahd-Schule (Grundschule);28;5;4;1;18%
08G15;Hermann-Sander-Schule (Grundschule);42;1;0;1;2%
08G16;Hugo-Heimann-Schule (Grundschule);21;3;2;1;14%
08G17;Richard-Schule (Grundschule);31;2;2;0;6%
08G18;Eduard-Mörike-Schule (Grundschule);35;10;7;3;29%
08G19;Herman-Nohl-Schule (Grundschule);49;7;2;5;14%
08G20;Sonnen-Schule (Grundschule);31;5;2;3;16%
08G21;Silberstein-Schule (Grundschule);25;6;4;2;24%
08G22;Schule am Regenweiher (Grundschule);23;1;0;1;4%
08G23;Zürich-Schule (Grundschule);31;3;3;0;10%
08G24;Schule am Teltowkanal (Grundschule);28;2;2;0;7%
08G25;Michael-Ende-Schule (Grundschule);25;2;1;1;8%
08G26;Christoph-Ruden-Schule (Grundschule);25;2;2;0;8%
08G27;Oskar-Heinroth-Schule (Grundschule);31;0;0;0;0%
08G28;Matthias-Claudius-Schule (Grundschule);27;1;1;0;4%
08G29;Wetzlar-Schule (Grundschule);29;0;0;0;0%
08G30;Schule am Sandsteinweg (Grundschule);48;1;1;0;2%
08G31;Janusz-Korczak-Schule (Grundschule);20;1;0;1;5%
08G33;Schule am Fliederbusch (Grundschule);20;3;1;2;15%
08G34;Lisa-Tetzner-Schule (Grundschule);29;1;0;1;3%
08G35;Schule in der Köllnischen Heide (Grundschule);48;3;1;2;6%
08G36;Löwenzahn-Schule (Grundschule);28;3;1;2;11%
08G37;Rose-Oehmichen-Schule (Grundschule);18;0;0;0;0%
09G01;Bouché-Schule (Grundschule);30;4;2;2;13%
09G03;Schule am Heidekampgraben (Grundschule);25;4;1;3;16%
